DCLG_code,ONS_code,New_ONS_code,Local_Authority Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
K5030,00AA,E09000001,City of London,119,86,55,54,47,24,23,45,33,47,48,44
Z5060,00AB,E09000002,Barking and Dagenham,434,513,893,1181,750,627,557,468,295,242,259,202
N5090,00AC,E09000003,Barnet,1654,1805,1604,1576,1704,1719,1525,1390,1095,1136,1129,1249
D5120,00AD,E09000004,Bexley,898,932,823,911,756,755,670,779,473,527,334,395
T5150,00AE,E09000005,Brent,1294,1231,1214,1162,830,733,595,629,610,567,540,405
G5180,00AF,E09000006,Bromley,1506,1437,1253,1138,1047,1002,922,840,728,709,668,696
X5210,00AG,E09000007,Camden,1503,1338,1056,1079,1125,1207,1163,1053,964,1286,1146,1138
L5240,00AH,E09000008,Croydon,2978,2049,2721,1822,1640,1635,1476,1321,1362,294,741,1022
A5270,00AJ,E09000009,Ealing,1215,1179,1091,1131,1144,1194,938,656,375,342,153,667
Q5300,00AK,E09000010,Enfield,2848,2661,3028,1551,905,894,1015,1057,764,847,1041,817
E5330,00AL,E09000011,Greenwich,1314,1362,1510,1406,1466,1349,1341,1620,770,523,625,504
U5360,00AM,E09000012,Hackney,2269,2639,2441,2477,2467,2747,2111,2023,1149,1032,1073,1037
H5390,00AN,E09000013,Hammersmith and Fulham,1435,1060,854,793,982,818,871,757,747,268,445,267
Y5420,00AP,E09000014,Haringey,1094,692,535,581,637,771,742,649,828,542,579,852
M5450,00AQ,E09000015,Harrow,405,352,370,289,286,304,251,210,166,356,81,97
B5480,00AR,E09000016,Havering,1076,1064,1145,1221,1202,1269,1123,996,948,816,558,499
R5510,00AS,E09000017,Hillingdon,782,846,804,746,704,756,809,574,465,556,469,463
F5540,00AT,E09000018,Hounslow,994,740,545,442,359,485,508,19,17,300,738,403
V5570,00AU,E09000019,Islington,1233,1019,1057,1171,1095,1396,1077,944,618,382,639,953
K5600,00AW,E09000020,Kensington and Chelsea,1255,1224,1140,1306,1527,1330,1104,1107,1215,1521,1250,1289
Z5630,00AX,E09000021,Kingston upon Thames,1534,976,1059,991,930,1228,1125,673,390,296,202,180
N5660,00AY,E09000022,Lambeth,1958,1642,2807,1851,2016,1884,2226,1676,1397,1329,1354,1142
C5690,00AZ,E09000023,Lewisham,0,0,0,503,762,801,942,940,742,737,594,725
T5720,00BA,E09000024,Merton,449,995,971,306,505,527,527,538,497,562,566,510
G5750,00BB,E09000025,Newham,1331,1670,2070,1927,2084,1945,1445,1252,982,939,903,1318
W5780,00BC,E09000026,Redbridge,491,959,1275,1379,885,985,813,693,549,487,284,267
L5810,00BD,E09000027,Richmond upon Thames,621,567,687,717,662,452,335,387,412,482,426,370
A5840,00BE,E09000028,Southwark,2192,1094,1192,922,1113,1267,1628,1157,829,833,993,930
P5870,00BF,E09000029,Sutton,1230,1279,1238,1103,1307,1174,1006,817,837,764,647,551
E5900,00BG,E09000030,Tower Hamlets,394,698,940,996,1176,1371,1623,939,806,598,602,666
U5930,00BH,E09000031,Waltham Forest,945,895,832,963,914,837,775,670,604,536,435,419
H5960,00BJ,E09000032,Wandsworth,3039,3044,953,894,737,704,657,549,532,493,437,263
X5990,00BK,E09000033,Westminster,2110,2033,1979,1945,2483,2455,2499,1869,1671,1503,836,575
